times,prices,sellBuyHold,confidence
433,28194.13,2,0.5615207
434,28185.02,2,0.5676051
435,28184.95,2,0.5798915
436,28197.5,2,0.586508
437,28178.53,2,0.58005846
438,28182.55,2,0.5861929
439,28150.18,2,0.54997796
440,28117.0,2,0.4938147
441,28112.49,2,0.49015307
442,28105.25,2,0.48253363
443,28093.99,2,0.47986048
444,28137.22,2,0.531089
445,28136.79,2,0.55509436
446,28171.63,2,0.56951386
447,28164.56,2,0.5703552
448,28158.94,2,0.579328
449,28157.63,2,0.58434707
450,28134.97,2,0.5728602
451,28159.56,2,0.58389604
452,28257.64,2,0.49704596
453,28231.01,2,0.4982872
454,28450.0,0,0.52820283
455,28396.88,0,0.5410775
456,28450.0,0,0.56972927
457,28439.04,0,0.5645914
458,28479.96,0,0.5789302
459,28658.7,0,0.63110125
460,28570.3,0,0.6075083
461,28661.33,0,0.62878376
462,28623.31,0,0.6098481
463,28572.84,0,0.5740668
464,28580.57,0,0.56480217
465,28619.81,0,0.589667
466,28630.27,0,0.58664596
467,28632.38,0,0.57707554
468,28579.87,0,0.5123912
469,28562.72,0,0.47514337
470,28584.61,0,0.48779052
471,28583.9,0,0.48223495
472,28583.91,0,0.47261062
473,28638.96,0,0.5374894
474,28640.0,0,0.54063416
475,28677.0,0,0.56740206
476,28654.26,0,0.53002614
477,28631.58,0,0.47577468
478,28644.54,0,0.47072208
479,28647.03,0,0.49717352
480,28566.71,2,0.449191
481,28562.16,2,0.4888632
482,28536.65,2,0.50944245
483,28550.0,2,0.5361654
484,28542.72,2,0.55491704
485,28489.72,2,0.5263845
486,28483.97,2,0.5110011
487,28478.66,2,0.50351244
488,28487.81,2,0.5147734
489,28445.31,2,0.4642066
490,28445.09,2,0.46258944
491,28470.23,2,0.4929366
492,28512.85,2,0.5169668
493,28506.44,2,0.529915
494,28498.07,2,0.52451617
495,28542.48,2,0.5370738
496,28555.91,2,0.5325896
497,28575.7,2,0.5280503
498,28514.35,2,0.51441056
499,28523.95,2,0.528074
500,28545.37,2,0.5444716
501,28530.47,2,0.54719746
502,28527.13,2,0.5505644
503,28517.37,2,0.55430007
504,28524.66,2,0.5622916
505,28523.69,2,0.5657473
506,28490.0,2,0.5360373
507,28498.56,2,0.53561544
508,28485.99,2,0.5298191
509,28498.38,2,0.54002905
510,28526.91,2,0.54973894
511,28551.25,2,0.5404533
512,28573.69,2,0.5180388
513,28591.08,2,0.4927954
514,28551.97,2,0.5041062
515,28559.89,2,0.51951927
516,28554.49,2,0.51690966
517,28560.86,2,0.52311677
518,28562.32,2,0.53972596
519,28580.53,2,0.5242579
520,28574.79,2,0.5236441
521,28562.84,2,0.5344073
522,28560.38,2,0.5449655
523,28555.77,2,0.5474261
524,28564.36,2,0.54578006
525,28552.75,2,0.5508916
526,28546.91,2,0.5645231
527,28542.37,2,0.5777767
528,28505.21,2,0.55430967
529,28501.9,2,0.5523469
530,28535.74,2,0.56254536
531,28516.98,2,0.56682885
532,28523.78,2,0.5736251
533,28531.09,2,0.57603306
534,28500.48,2,0.55926496
535,28497.79,2,0.55827147
536,28484.59,2,0.54988736
537,28475.81,2,0.5316387
538,28489.98,2,0.5425301
539,28492.14,2,0.53691024
540,28500.0,2,0.5437252
541,28511.38,2,0.5547063
542,28499.2,2,0.56453454
543,28516.34,2,0.5773195
544,28515.9,2,0.5878753
545,28481.26,2,0.5704232
546,28441.48,2,0.51023346
547,28465.96,2,0.53717595
548,28548.83,2,0.5140122
549,28571.38,2,0.49259898
550,28565.13,2,0.50716585
551,28559.67,2,0.52293557
552,28561.81,2,0.54261637
553,28548.67,2,0.56096137
554,28545.09,2,0.5745892
555,28533.44,2,0.5846346
556,28546.5,2,0.5908929
557,28550.0,2,0.5925891
558,28555.6,2,0.5846557
559,28580.9,2,0.55331475
560,28516.21,2,0.5617109
561,28521.0,2,0.5745062
562,28512.09,2,0.58529764
563,28504.68,2,0.5893931
564,28507.85,2,0.587884
565,28507.85,2,0.59136564
566,28507.85,2,0.6008679
567,28495.19,2,0.5965388
568,28507.84,2,0.6072213
569,28507.84,2,0.6120676
