timestamp,BTC_close,BTC_low,BTC_high,BTC_volume,BTC_HLPercent
1649635200,42130.75,41902.55,43406.06,2146725.66,0.034638251
1649656800,42283.53,41765.99,42395.84,1321013.42,0.01485641
1649678400,41054.19,40934.75,42350,3177424.81,0.033417946
1649700000,40446.32,40258,41228.56,7140272.55,0.023540963
1649721600,39523.45,39208.49,40591.01,4565975.82,0.034059759
1649743200,40084.08,39299.85,40136.44,1819669.37,0.020843652
1649764800,40359.02,39855.98,40434.35,1646288.01,0.014303927
1649786400,39986.78,39836.05,40675.9,5179785,0.020647361
1649808000,40065.73,39265,40261.87,3213768.16,0.024759655
1649829600,40175.19,39593.28,40254.18,1198396.3,0.016418171
1649851200,39741.08,39710,40225.75,1650236.74,0.012821389
1649872800,41037.42,39645.9,41380,8186348.44,0.041906718
1649894400,41135.51,40992.29,41543.94,1912198.47,0.013278712
1649916000,41307.01,41059.2,41477.68,614918.34,0.010089282
1649937600,40904,40856.67,41351.2,698628.76,0.011959266
1649959200,39974.73,39774.46,41280.73,2428680.77,0.036488454
1649980800,39909.55,39567.05,40020.54,1616820.45,0.011331431
1650002400,40126.89,39777.68,40247.59,1355158.96,0.011675482
1650024000,40191.18,39963.07,40433.4,2359760.8,0.011632215
1650045600,40433.6,39933.47,40834.27,3131145.79,0.022059902
1650067200,40554.85,40274.87,40589.77,779185.91,0.007758112
1650088800,40453.04,40392.06,40682.32,422519.83,0.007134795
1650110400,40406.13,40287.99,40488.61,617880.46,0.004954974
1650132000,40128.89,40010.18,40583.2,913831.91,0.014119636
1650153600,40364.43,40114.27,40677.25,889655.32,0.013840169
1650175200,40386.14,40123,40426.54,196309.69,0.007508434
1650196800,40464.16,40239.48,40520,290810.23,0.006923001
1650218400,40102.13,40038.39,40578.01,912437.99,0.013298336
1650240000,39694.19,39556.16,40438,1638194.88,0.021807211
1650261600,38913.2,38550,39880.86,3634992.51,0.033370895
1650283200,38985.7,38802.41,39104.39,1187449.88,0.007722407
1650304800,40207.19,38991.59,40336.82,4031211.19,0.033349927
1650326400,40799.79,40219.25,41063.07,3484344.78,0.020549365
1650348000,40669.05,40581.68,41247.43,1698795.1,0.0161404
1650369600,40684.75,40584,40990.57,2111593.77,0.009918623
